贴文ID,作者名字,认证状态,粉丝数,转评赞数,微博内容,话题名称,视频标题
O4YjcpL8T,名人张聊,True,928481,1597039,刘强东：未来可能没人再为钱工作，工作是出于精神情感需要。  #刘强东##京东##老张杂谈# http://t.cn/A6YkFHSS ,刘强东/京东/老张杂谈,名人张聊的微博视频
P8JuN9HvB,tz-小红帽,True,195818,3222789,刘强东回忆将客服中心落地宿迁：我不在老家投资，谁还会来？  在这个人性冷漠的年代里有这样一位大善举，真的是暖心啊！ http://t.cn/A6uHlcze ,,tz-小红帽的微博视频
Oa8jqCKra,钛媒体影像,True,206798,336461,#刘强东回忆京东第一次对赌被低估#刘强东讲述京东的第一次签对赌协议：对方低估了我们的实力。他表示：“我最开始是拒绝对赌的，我说你们的对赌条件是什么，然后今日资本拿了一个清单给我，三年销售额，一看到销售额，我的头就立马低下去了，我就乐了，因为他们的要求太低了。” http://t.cn/A6TjSzJU ,刘强东回忆京东第一次对赌被低估,钛媒体影像的微博视频
P8Gm7aLbJ,余少吖,True,192402,1653720,村民扶我青云志，我送村民万两金！看到刘强东写给乡亲们的一封拜年信，难怪小19岁的章泽天甘愿嫁给他  刘强东  章泽天  刘强东给老家宿迁光明村送年货 http://t.cn/A6uHx1Xf ,,余少吖的微博视频
P6PYlBBqQ,娱乐转转站,True,93685,13599904,网友：哈哈哈，刘强东这个月是白忙了！ #微博VC计划#  http://t.cn/A6u5xbdr ,微博VC计划,娱乐转转站的微博视频
O9IIAfnNB,羊又走丢了,True,5872819,18027767,#刘强东直播##京东回应网友喊话刘强东直播# 这个倒是真可以有！不过网友的不是想要去打赏吧？[允悲][跪了]人家东哥即便开播，也必定不会开打赏！[doge][doge][doge] http://t.cn/A6T0s3LN ,刘强东直播/京东回应网友喊话刘强东直播,羊又走丢了的微博视频
P8MbIEtUY,WS偏执狂,True,1152383,16375591,刘强东回村发钱，苦了曹德旺！有网友将刘强东回村与曹德旺回村对比，曹德旺曾透露：离开村子是被人赶出来的，成功后很多人给他道歉。 http://t.cn/A6uQcshx ,,WS偏执狂的微博视频
OoJ7jqCTf,名人张聊,True,928481,1597039,京东集团创始人刘强东：公司里这类员工不能留。  #京东##刘强东##企业管理##老张杂谈# http://t.cn/A68Uc9Xk ,京东/刘强东/企业管理/老张杂谈,名人张聊的微博视频
P8CidCIEL,钱江视频,True,6208061,26946200,【#刘强东给小学老师每人发10万现金# 老师说刘强东一点都没变】 1月7日，刘强东在一封写给老家乡亲的拜年信中承诺：为自己在光明村读小学时所有在校老师每人准备了10万元的现金红包。今天，刘强东小学老师已收到10万现金，他谈起刘强东时十分骄傲，“他每次考试成绩都特别好，还带动其他同学。”据悉， ,刘强东给小学老师每人发10万现金/刘强东同村人领到红包并不需要交税,钱江视频的微博视频
P8zIdoobm,醉仙美6,True,208430,1486617,#刘强东给自己小学老师每人发10万现金# 刘强东除了给老人发钱，连自己的小学老师都每人10w， 头部主播辛巴口述上学打老师，却给小学老师送了一顿大电炮，在直播间当众炫耀打老师的光荣历史…… 常言道，一日为师终生为父[心]，老师是我们成长的引路人，尊师更是中国的传统美德，你作为公众人物，直播间 ,刘强东给自己小学老师每人发10万现金/辛巴,醉仙美6的微博视频
P8NBcktO5,老板联播,True,6092924,154984781,【#大爷收到刘强东红包哭了#：“儿女也没有这样的”】1月8日，刘强东又给老家宿迁市光明村村民发红包和年货了，60岁以上老人每人可领1万元现金红包。一位老人抹着泪说：“儿女也没有这样的，我眼泪都下来了。” http://t.cn/A6uQW7oT ,大爷收到刘强东红包哭了,老板联播的微博视频
P8DP075er,环球纪录频道,True,2239740,48352964,#刘强东老家村干部称村里面积已扩大3倍# 1月8日，江苏宿迁，刘强东给小学老师每人发10万元现金。什么是尊师重道？什么是知恩图报？这就是！#村书记回应刘强东为村民发了3000万# http://t.cn/A6uTYltx ,刘强东老家村干部称村里面积已扩大3倍/村书记回应刘强东为村民发了3000万,环球纪录频道的微博视频
P8KvypfjR,半程KeMeng,True,515582,18554208,1月8日，江苏宿迁。“考大学需要钱了，我就转赠给他们”！刘强东小学班主任计划将10万红包捐出。 http://t.cn/A6uHuLd2 ,,半程KeMeng的微博视频
P8UFmhyVZ,麒炜投资,True,287742,3122529,刘强东：京东十几万名员工，70%来自于农村 ，让我为了钱不择手段，压榨低端劳动力，那不是我的理想！ http://t.cn/A6u8n125 ,,麒炜投资的微博视频
P8Va8xBbR,掌柜老史,True,58868,98458,再发一条关于刘强东的，话题就打住了  这次钱，物资他发了大概3000W，做的这件事，给其他民营企业家打了个好头，同时也给当下的整个商业环境注了一阵强心剂，至少能让我们创业者们看到了未来的希望，太难得  下方的这段视频，是今日资本徐新聊到当年给到刘强东融资，刘是如何做事的，以前会觉得大佬们 ,,掌柜老史的微博视频
Og6VaplUw,吴真话影事,True,191469,798865,哈哈哈，要不是有员工、有朋友发给我，我还真没注意。哈哈哈。#刘强东回应严抓考勤##刘强东内部狼性训话流出#   我为啥笑呢，你们知道我这两天加班干嘛不？在讨论考勤制度改革！（当然不仅仅是考勤制度，而是整个绩效、考核、薪酬制度）  而且我们是国企，是要讲民主集中制、三重一大的。这种涉及全员 ,刘强东回应严抓考勤/刘强东内部狼性训话流出,吴真_2024的微博视频
P8ECOyKCf,半程KeMeng,True,515582,18553930,1月8日，江苏宿迁。刘强东给小学老师每人发10万元红包，他就算不发钱我们也都非常感谢他，“路是他修的，桥是他修的，幼儿园也是他建的”。 http://t.cn/A6uTgPDe ,,半程KeMeng的微博视频
P8MER3ygt,定陶发布-,True,2007,452224,【收到刘强东的万元红包要缴个税吗？权威回应 】#收到刘强东万元红包村民不用缴个税#据媒体报道，刘强东为宿迁市宿豫区来龙镇光明村为乡亲们送来了老年手机、电动自行车、助听器等暖心年货。除此之外，村中60岁以上的老人还能收到每人1万元的现金红包。刘强东在一封写给老家乡亲的拜年信中承诺：为自己 ,收到刘强东万元红包村民不用缴个税/定陶融媒,梨视频的微博视频
Ow4CH9Yak,电商之家,True,479314,2746376,为什么说寒门再难出贵子，来听听刘强东是怎么说的。 http://t.cn/A6RQ1RKb ,,电商之家的微博视频
P8GgTfQNZ,李潇潇酱,True,71379,1968153,1月8日 据海报新闻报道，刘强东父亲称刘强东今年不回家过年，公司里的事太忙了，6年没回来了，“想他我们可以每年去看他”。刘强东幼年父母靠在外跑船为生。 http://t.cn/A6uHMuGC ,,李潇潇酱的微博视频
P8DKb3ITT,半程KeMeng,True,515582,18554208,刘强东给他上小学时的每位老师准备了10万红包！有老师称没教过刘强东，接到电话时很意外：虽然我不是他任课老师，但他想着我们（视频来源：海报新闻） http://t.cn/A6uTlt1j ,,半程KeMeng的微博视频
OrvshzLK1,老高电商圈子,True,3007350,16029657,实体店上午开张，刘强东：下午十几个部门挨个上门收费！ http://t.cn/A68mBPe6 ,,老高电商圈子的微博视频
OgE0R9e2s,麒炜投资,True,287741,3122529,#京东# 跟刘强东共事一年，才明白京东为何是电商老大？  东哥有着你不知道的另一面！ http://t.cn/A6HjJgPa ,京东,麒炜投资的微博视频
O9gSs8Om7,电商之家,True,479314,2746376,刘强东：我犯的最大的一个错误，就是没有发展自己的支付业务。 http://t.cn/A6TCXph5 ,,电商之家的微博视频
P8EKIEekA,西平郡御史,True,1187927,8946502,刘强东这人真是可以不，可能小学老师都记不得他了，他却记得自己的小学老师，毕竟那是他知识的领路人，他怎么会忘记！尊重老师，这样的人差不了！#曾资助刘强东5毛钱上大学老人发声# http://t.cn/A6uTeIpB ,曾资助刘强东5毛钱上大学老人发声,西平郡御史的微博视频
P8CK940nF,WS偏执狂,True,1152383,16375591,#村民回应刘强东给乡亲发钱#村民直呼太帅了，大强子给村民们的新年红包到啦，用三轮车拉年货，又领大红包，光明村的村民幸福了。#第一批领完刘强东红包的村民# http://t.cn/A6uTfWFZ ,村民回应刘强东给乡亲发钱/第一批领完刘强东红包的村民,WS偏执狂的微博视频
P5qXr1jwN,道叔bot,True,947251,2588512,刘强东谈电商，灵活就业，先进生产力及税收。 http://t.cn/A6mewS6J ,,道叔bot的微博视频
P8C9k5HCF,东方财经,True,1926320,1741812,【#乡亲回应喜提刘强东万元红包#】#刘强东家乡老人排队领万元红包#1月8日，刘强东为江苏宿迁来龙镇光明村老家村民送年货发现金，60岁以上老人每人一万元，13位小学老师每人10万元，不少村民骑着电动三轮车来领。 谈到刘强东给村民们发钱，有村民称刘强东有出息，还有村民表示，“大强子给我们发钱我们 ,乡亲回应喜提刘强东万元红包/刘强东家乡老人排队领万元红包,东方财经的微博视频
P5at88xqN,电商之家,True,479314,2746376,刘强东：如果这个人说话特别好听的话，我绝对不要！ http://t.cn/A6mBhg4W ,,电商之家的微博视频
OdYKMFAgs,电商之家,True,479314,2746376,刘强东：我今天毕业的话，我会毅然决然地考公务员。 http://t.cn/A6HGikYM ,,电商之家的微博视频
P8Chaslqy,一手Video,True,8076748,58533514,【#近1400位老人领到刘强东1万元红包# 】1月8日，刘强东老家光明村如约给老乡发钱发年货。和往年一样，村中60岁以上的老人仍能领到每人1万元的现金红包，今年刘强东还给自己的小学老师每人准备了十万现金。据悉，近年光明村合并了周边的村子，领到万元现金的老人近1400位，不少老人称是第一次收到万元 ,近1400位老人领到刘强东1万元红包/周边村民因并村领到刘强东万元红包,梨视频的微博视频
Og4yTAeuE,风清颂,True,1708586,4497095,5月24日刘强东在京东内部发布线上讲话，他表示理解每个人生活选择是不一样的，但选择更多享受生活、不想拼的员工，是路人、不是“我的朋友”、不是“我的兄弟”、“我们不应该一起共事”，因为这种人的存在会让拼搏的兄弟们利益受损。并且宣布，将从7月1日起给所有采销岗涨薪20%。这次讲话中他还明确表 ,刘强东回应严抓考勤,风清颂的微博视频
P8E8ClHKc,环球时报,True,31207479,466021298,【#老师回忆当初错打刘强东# ：曾冤枉他，向他道歉后他向我深深鞠了一躬】#刘强东为老家村民发了超3000万# 1月8日，江苏宿迁，刘强东给光明村父老乡亲送的年货到了！据了解，这次发放现金和年货加起来超过3000万，60岁以上的老人每人有1万元的现金红包，刘强东当年上小学时学校的所有老师们，每人领到 ,老师回忆当初错打刘强东/刘强东为老家村民发了超3000万,环球时报的微博视频
OczXdpzJF,许媚晴,True,243046,21249853,没想到最后打败李佳琦的人，竟然是刘强东，资本面前只有更强，一山更比一山高，在京东这样世界500强企业面李佳琦前不值一提！ http://t.cn/A6HPKjc4 ,,许媚晴的微博视频
P8D5uqCxA,正观新闻,True,2604500,5788992,【刘强东小学老师已领到10万现金！数学老师：他知道感恩】2025年春节，刘强东再次给老家光明村村民发年货，并给60岁以上的老人一人一万元现金，当年他上小学时的老师每人10万元。#大爷提布袋领刘强东发的钱直呼开心# 1月8日，刘强东小学老师已领到10万现金，小学四年级数学老师张建称，刘强东知道感恩 ,大爷提布袋领刘强东发的钱直呼开心/刘强东今年又给老家村民发钱了,正观新闻的微博视频
P7L4aCMzi,口红王子,True,61461,806219,当刘强东遇到自己同学的儿子，小伙子还给刘强东带了特产#村民称刘强东发钱不是应该的##刘强东给老家60岁以上老人发一万元# http://t.cn/A6uof3pV ,村民称刘强东发钱不是应该的/刘强东给老家60岁以上老人发一万元,口红王子的微博视频
P8JipnRZd,麒炜投资,True,287741,3122529,刘强东给乡亲们送的电动车现场直接上牌！#律师称收到刘强东红包的乡亲需缴税# http://t.cn/A6uHO9HC ,律师称收到刘强东红包的乡亲需缴税,麒炜投资的微博视频
P8DiSiVEj,小妖追剧w,True,176327,1219683,刘强东老爹不是一般人，看两个问题:  一，记者问叔叔，你太优秀了，培养了这么优秀的儿子，刘爸哈哈大笑，你们的那个姨，刘强东妈培养的，不居功不自傲。  二，记者问，你家房子装修的真漂亮，刘爸立即表情变了，略有所思的说不漂亮，普普通通，不炫富，不露富，其实就是很普通。 http://t.cn/A6uTSsq6 ,,小妖追剧w的微博视频
OBMfI56vi,赵宏民,True,1035620,3697606,#刘强东章泽天夫妇报案##警方正侦办刘强东章泽天被造谣案# 章泽天在清华校友伦敦艺术展时佩戴的胸针引发热议，京东表示：刘强东章泽天夫妇遭有组织造谣抹黑。  注意，核心关键词是——“有组织”。  之前，章泽天的造型师姜成皓回应，这款胸针是法国时装品牌夏帕瑞丽的，跟网络传言的所谓某会毫无关系 ,刘强东章泽天夫妇报案/警方正侦办刘强东章泽天被造谣案/章泽天,赵宏民的微博视频
P8UzV62mR,态度岛,True,713132,10006449,【为什么刘强东选择本人不出面给村民发钱，而是继续呆在幕后】原因主要有三个：1、他从项羽身上懂得了一个保平安的道理：不回老家张扬，不出现在现场，不被过多的报道才能走得长远。 2、年底了，作为一个关键时刻，京东估计有大量的事情需要他来处理和定夺。他怕一回到家乡，数不清的应酬。所以干脆选 ,,态度岛的微博视频
P8x2IeAGR,军事博主,True,1298796,20969889,刘强东舅舅谈刘强东创业曲折经历，吃了不少苦，收了不少罪。[赞][赞] http://t.cn/A6uY5tGk ,,军事博主的微博视频
OBN6bui8V,电影拆台君,True,3333039,9685596,#刘强东章泽天夫妇报案##章泽天# 十年前“奶茶妹妹”章泽天的颜值真的太耐打了！感觉跟谷爱凌，刘亦菲说话的气质很像嗷，你觉得呢？ http://t.cn/A6ErwPSF ,刘强东章泽天夫妇报案/章泽天,电影拆台君的微博视频
OyV8xbvUl,麒炜投资,True,287741,3122529,京东刘强东：企业家不应该榨取员工，用技术创新去盈利才是正道！#淘宝微信京东互相接入# #淘宝京东将出现对方快递选项#  http://t.cn/A6EtBYE8 ,淘宝微信京东互相接入/淘宝京东将出现对方快递选项,麒炜投资的微博视频
Og4oXfUKM,深圳马良,True,155338,1001236,刘强东重新定义兄弟 不想拼搏的人，你不是我们兄弟，你是路人，你的存在对拼搏的兄弟不公平。  http://t.cn/A6HNpLD6 ,,深圳马良的微博视频
ObexoyCg3,县令互联网,True,799670,5214001,刘强东近期最精彩的演讲没有之一！ http://t.cn/A6TTjZFe  ,,文史令官的微博视频
P8Ev9BR77,老巴SMS,True,324026,5161245,【刘强东：我曾经穷的是无法言语得穷】  刘强东在一次接受央视记者采访中，说他过去十几年所有从公司拿到的现金收入，60%都已经捐出去了，已领养了100多个孩子，都是孤儿，都没了父母，世上除他之外没有任何亲人了。  他说，他把这些孤儿都当做自己儿女一样，至少要把他们都养到结婚，给他们买房子。   ,,老巴SMS的微博视频
OmhlmFiJf,名人张聊,True,928481,1597039,京东创始人刘强东谈第一个女朋友：她家庭背景很很强大，不可能创业。  #刘强东##京东##刘强东创业##老张杂谈# http://t.cn/A6Q8Mzig ,刘强东/京东/刘强东创业/老张杂谈,名人张聊的微博视频
OcPR1BIbe,麒炜投资,True,287741,3122529,#京东# 刘强东讲述:为什么腾讯最后把电商交给我们做了？  一语道破了真相！ http://t.cn/A6H7jQfd ,京东,麒炜投资的微博视频
P8OKg6G8l,电商之家,True,479314,2746376,从寒门学子逆袭成为千亿富豪，刘强东走过的每一步都充满了艰辛与不易，但他从没有忘记自己的初心。 http://t.cn/A6uQrHJF ,,电商之家的微博视频
P8DnnhPw6,看度新闻,True,3523093,6951879,【#刘强东老师回应收到10万红包#：对家乡支持太大了！】1月8日，刘强东为光明村送年货，为14位小学老师发放了10万元现金红包，也为乡亲们准备了5万件年货。刘强东的小学数学老师张老师表示，刘强东对家乡的支持太大了。#曾资助刘强东5毛钱上大学老人发声##老师称56个学生仅刘强东考100分#  ,刘强东老师回应收到10万红包/曾资助刘强东5毛钱上大学老人发声/老师称56个学生仅刘强东考100分,看度新闻的微博视频
P8Otywh3S,顺十而为,True,228120,5627192,刘强东的学霸特质:专注力强 http://t.cn/A6uQRhDq ,,顺十而为的微博视频
P8EOUE138,新行情,True,796872,2012604,#律师称收到刘强东红包的乡亲需缴税# 太令人敬佩了，刘强东为京东制定的一项原则：任何灾难发生时，就近仓储的经理有权利而且必须把库房里面所有的货物全部捐给灾区人！ http://t.cn/A6uTDw9d ,律师称收到刘强东红包的乡亲需缴税,新行情的微博视频
P8JQv7HEN,期货静笃,True,244629,193183,刘强东在母校宿迁中学的演讲 http://t.cn/A6uHT1qP ,,期货静笃的微博视频
OxxRjzwqp,Archer__久遇,True,189047,3608234,同样是亿万老公出轨，章泽天和小杨嫂二二的处理方式不同，章泽天选择用钱摆平小三，原谅老公，和老公统一战线，而二二选择下套给小三三只羊沫沫，让她不仅被白嫖，还没钱又得坐牢。事情过后，刘强东和章泽天照样恩爱有加，不久后生下了双胞胎。刘强东出轨后对京东影响并不大，保住了源源不断的财富，小 ,,鱼骨咕咕咕叫的微博视频
OjieX17ME,电商行业,True,2904444,8875502,即使是叱咤风云的商业大佬刘强东，在父亲面前也笑得像个孩子。 http://t.cn/A6QLUT7U ,,电商行业的微博视频
Oa0kH5RqT,每日经济新闻,True,48382254,309094755,【#刘强东数字人直播引百万网友提前围观#】4月16日晚，刘强东AI数字人开启直播首秀，引发超百万网友提前围观。这也是近期刘强东回应网友喊话“请东哥出来直播”的号召，决定以数字人的形式直播。在业内人士看来，应用全新技术的数字人直播确实是好生意，可复制、成本低，可以填补真人下播后的空闲时段 ,刘强东数字人直播引百万网友提前围观/数字人直播能取代真人直播吗,每日经济新闻的微博视频
P7Kcx3dFn,羊城晚报,True,12855195,31177872,#东哥又出手了#【#刘强东多次给村里60岁以上老人发万元红包#，网友：滴水恩涌泉报】1月1日，江苏宿迁，村民称京东集团创始人刘强东又给老家发现金。有村民表示，村里开会通知400多户，60岁的一人一万元现金，每户也有几千元礼品。 刘强东给老家人置办年货的事并不是第一次。2018年春节刘强东曾给家乡80 ,东哥又出手了/刘强东多次给村里60岁以上老人发万元红包/刘强东给老家60岁以上老人发一万元,羊城晚报的微博视频
P8BzM1eqI,九派新闻,True,4330059,86155275,#刘强东小学在班级里是班长#【#曾资助刘强东5毛钱上大学老人发声#：大强子有出息了】1月8日，江苏宿迁。刘强东送给老家乡亲的红包、年货礼品开始发放。当年曾资助刘强东5毛钱1个鸡蛋上大学的72岁老人称没图过回报，“当年是穷孩子嘛，现在大强子有出息了”，村民们都希望刘强东身体健康。据了解，本次 ,刘强东小学在班级里是班长/曾资助刘强东5毛钱上大学老人发声/33年前的5毛钱变成今天的1万元,九派新闻的微博视频
ODkiF2xud,君观史册,True,144680,88499,2018年刘强东案件，被警察带走时，角落出现一位神秘男子！ http://t.cn/A6n4a8xQ ,,君观史册的微博视频
P756zxSxe,柴孝伟,True,170961,268501,企业家应该如何对待员工的利益，刘强东、胖东来是很不错的。  #财经##商业世界##热门视频##企业家# http://t.cn/A6uVJA1e ,财经/商业世界/热门视频/企业家,柴孝伟的微博视频
P8XNj2Sn3,旅行厨男,True,3070042,14059681,京东创始人 刘强东，给宿迁光明村乡亲们发送超3000万的年货，村里60岁以上老人每人一万块钱红包，小学启蒙老师每人10万元红包！[威武][赞][赞][赞]  大强子妥妥的宿迁人的骄傲呀！成功励志的榜样！[作揖] http://t.cn/A6uRlGV3 ,,旅行厨男的微博视频
P8BspwcNL,都市报道,True,2281688,18284106,【#70岁老人领1万现金称不发钱也感激#】1月8日，江苏宿迁。刘强东又又又回村给老乡发钱啦，为1356位60岁以上的老人每人发1万元现金红包！一位70岁的大爷现场领到了1万元现金，还说他上一年也领到了，“他（刘强东）就算不发钱也很感激他，他从小就是在我们那儿长大的。”刘强东这次回光明村送年货将持 ,70岁老人领1万现金称不发钱也感激,都市报道的微博视频
P8CRVEtXu,时间杂论,True,837000,4385176,无论个人如何发展壮大，都不应忘记家乡的父老乡亲。这种有担当、不忘本的精神，值得我们由衷地点赞和肯定。#近1400位老人领到刘强东1万元红包##周边村民因并村领到刘强东万元红包# http://t.cn/A6uTJ2zD ,近1400位老人领到刘强东1万元红包/周边村民因并村领到刘强东万元红包,时间杂论的微博视频
P8Bn064Ua,都市报道,True,2281688,18284106,【#学生给小学老师发10万红包# 老师：当然骄傲了，情义无价】1月8日，江苏宿迁。刘强东给老乡发红包送年货，60岁以上的老人，每人发1万元现金红包，教过他的小学老师，每人发放10万元现金红包，一位教过他的老师表示，“当然骄傲了，礼物是有价值的，但他的情义是无价的”。 http://t.cn/A6uYBppY ,学生给小学老师发10万红包,都市报道的微博视频
P8DeVBEMd,财经网科技,True,2534926,16629754,【#刘强东总考第一使老师获荣誉称号#】#数学老师说刘强东成就了他# 近日，刘强东给老家江苏宿迁来龙镇光明村1500户村民送年货发现金，14位小学老师每人10万元。  曾教过刘强东的小学数学老师说：“刘强东的成绩特别好，镇里的统考他几次都是考全镇第一。当年就属于我的教学实绩比较好，所以他成就了我 ,刘强东总考第一使老师获荣誉称号/数学老师说刘强东成就了他/曾资助刘强东5毛钱上大学老人发声,财经网科技的微博视频
P8JtEbhos,tz-小红帽,True,195818,3218815,刘强东小学班主任计划将10万元捐出，这觉悟可以，够高尚！ http://t.cn/A6uHWeM8 ,,tz-小红帽的微博视频
ODBgG4pXD,老张文娱,True,87951,370508,#辛巴给刘强东道歉了#   某博主称：这次辛巴提到钢板上了，我感觉你怼怼网红就算了，就像刘强东这样的企业家就别怼了，人家可能一个电话你就没了...【详情看视频】#大咖网红[超话]# http://t.cn/A6nqlQJE ,辛巴给刘强东道歉了,老张文娱的微博视频
P8CvRuE3b,九派新闻,True,4330061,86155275,【#刘强东小学老师发声#：能记得小学老师的很少】1月8日，江苏宿迁。刘强东送给老家乡亲的红包、年货礼品开始发放。刘强东的小学老师表示能记得小学老师的人很少，这位老师称，收到刘强东要给小学老师发10万红包，非常意外，“能感受到他尊重老师，尊重教育”，没想到咱们小学有个学生能成为商界传奇。 ,刘强东小学老师发声/曾资助刘强东5毛钱上大学老人发声,九派新闻的微博视频
ObOoTk6CP,战影未了,True,4478,554481,章泽天刘强东牵着手现身演奏会，奶茶妹妹不仅时不时看向老公，看到有趣的还用小动作戳戳刘强东，看起来十分恩爱！         #亿点曝光计划##转发接龙开新年# http://t.cn/A6Tds7eR ,亿点曝光计划/转发接龙开新年,战影未了的微博视频
P0aRQ2izC,万能伟网红圈,True,1626106,16364794,辛巴骂完刘强东后，又否认骂过刘强东，表示骂的是张一鸣  又能把我怎么样！  第一点我没有骂过刘强东，我骂的是张一鸣，我跟京东是多年合作活动，我觉得刘强东值得被尊重，我没有必要觉得自己牛而去骂一个值得尊重的人，我不会怕被人收拾而去道歉，你们觉得我骂了刘强东那句话，我的原话就一句，如果京 ,,万能伟网红圈的微博视频
P8Cj8hoXe,环球时报,True,31207480,466021298,#刘强东小学老师回应收到10万元红包# #刘强东老家村民领到满满一车年货# 1月8日，在岁末年初之际，刘强东再次为家乡的乡亲们送来了丰厚的年货，还为村里每位60岁以上的老人准备了1万元现金红包。此外，他也特别惦记着自己上小学时的老师，为他们每人送出10万元红包。“滴水之恩，当涌泉相报”，刘强东 ,刘强东小学老师回应收到10万元红包/刘强东老家村民领到满满一车年货,这视频的微博视频
P8UKA4N6n,娱十亿,True,78908,3312071,刘强东坚持十年如一日的早会，并且用五有五不四框架把会议效率提到最高老板思维 http://t.cn/A6u8mlmi ,,娱十亿的微博视频
P8Jd1smg7,陆战铁骑,True,321577,3089467,#律师称收到刘强东红包的乡亲需缴税#，这个律师是吃饱了撑得没事干了吗？还是羡慕人家村民领到一万块钱了吗？打官司维护法律正义不行，蹭热度第一名啊。退一万步说，就算是法律有规定，刘强东也不是缴不起，但法律之外也要讲情。对60岁以上的农村老人来说，估计这辈子除了种地缴粮食税，还没拿钱缴过税 ,律师称收到刘强东红包的乡亲需缴税/老兵时评,陆战铁骑的微博视频
P8DtLodhk,老牛佛眼观市,True,454983,2522179,刘强东回馈家乡 感恩76个鸡蛋和老师的助力成就今日京东！#曾资助刘强东5毛钱上大学老人发声# http://t.cn/A6uT9545 ,曾资助刘强东5毛钱上大学老人发声,老牛佛眼观市的微博视频
OjBVufzYp,电商报,True,4266512,52793465,刘强东：第一次创业失败后，我发誓不再犯两个错误。 http://t.cn/A6QbojQq ,,电商报的微博视频
P7Pdl6l5V,菏泽日报,True,36865,792513,#村民称刘强东发钱不是应该的#【#村民回应刘强东给老家乡亲发钱#：不发也是应该的，都是他辛苦赚的钱，我们感谢他】近日，刘强东老家江苏宿迁光明村村民透露，已接到村通知，2025年春节刘强东将再次给光明村村民发现金。“8号发，每家有几千元礼品，60岁以上老人有一万元。”村民王先生表示，是按户发 ,村民称刘强东发钱不是应该的/村民回应刘强东给老家乡亲发钱/刘强东给老家60岁以上老人发一万元,九派新闻的微博视频
OauiopNTq,YouTube全球精选,True,2113862,20166500,#宿迁光明村老人错认刘强东# 老刘对于宿迁的影响有多大，大概也只有当地人才能真正理解这其中的分量……[并不简单]#村口坐着的老人在干什么# http://t.cn/A6THdWqI ,宿迁光明村老人错认刘强东/村口坐着的老人在干什么,YouTube全球精选的微博视频
P8KVd7Pmj,新闻晨报,True,40599195,220913130,【这样的厚礼令我感到惭愧#刘强东小学班主任将捐出10万元#】1月7日，刘强东在一封写给老家乡亲的拜年信中承诺：为自己在光明村读小学时所有在校老师每人准备了10万元的现金红包。据悉，刘强东今年仍会给家乡人民发放现金和年货，除老年手机、电动车、助听器等助老暖心年货，村中60岁以上的老人依旧能收 ,刘强东小学班主任将捐出10万元/刘强东小学班主任计划将10万元捐出,新闻晨报的微博视频
OkiGcm5PD,买家张俊,True,1519804,6670765,#Manner去年仅1225人缴纳五险# 昨天看到Manner咖啡创始人夫妇身家72亿了，他们真应该学习一下刘强东。来看看东哥是怎么说的：把员工外包给第三方一年可以省17个亿，但是克扣员工五险一金是耻辱钱，这钱不能赚！ http://t.cn/A6QIp9XO ,Manner去年仅1225人缴纳五险,买家张俊的微博视频
O5jKOoPnN,电商报,True,4266512,52793468,刘强东霸气表示：京东供应链直接供货，保证产品品质与价格。京东拿的每一份收入，要给国家与行业创造10倍价值，且拿得脸不红心不跳！ http://t.cn/A6TvEShI ,,电商报的微博视频
Ox4nEAPJW,麒炜投资,True,287742,3122529,刘强东谈柯达败局：柯大老板说，在这个世界上，我只发现一种东西的利润比我们柯达高，那就是毒品！ http://t.cn/A6ReqfGp ,,麒炜投资的微博视频
P8ALV3JWX,都市报道,True,2281688,18284106,【#给老人发1356万红包的运钞车到了#】1月8日，江苏宿迁。刘强东又双叒给老乡发钱送年货了，运钞车已经到现场，即将开始发钱，1356位老人每人将领1万元红包。村民表示，即使刘强东不发钱，大家也很感激，他给家乡带来了特别的大贡献。 http://t.cn/A6uYHQcc ,给老人发1356万红包的运钞车到了,都市报道的微博视频
O7Gghv4zh,明星娱乐新闻,True,5648207,8206318,一看到天仙似的好老婆，刘强东嘴都合不拢，连忙向大家展示奶茶妹妹！ http://t.cn/A6Tf4yXx ,,明星娱乐新闻的微博视频
P8Dxwe2Fl,鱼乐gg,True,234578,8558152,1月8日，江苏宿迁，刘强东给小学老师每人发10万元红包 #刘强东##京东# http://t.cn/A6uTC7Lg ,刘强东/京东,鱼乐gg的微博视频
Oq7K4hPSB,钛媒体影像,True,206798,336461,#马云刘强东曾谈无人驾驶#马云：政府不应该去关心出租车行业是否被取消，那是市场行为，政府要关心的是马路上是否安全，人是否死亡交通安全是第一要素。  刘强东：未来汽车一定会变成全部是无人驾驶的，未来不需要开车了，你坐在车里唯一能干的事就是娱乐买东西。 http://t.cn/A68KCT9T ,马云刘强东曾谈无人驾驶,钛媒体影像的微博视频
P8F2PtbuG,tz-小红帽,True,195819,3222789,刘强东给家乡父老的年货正式发放，特警押运1000多万现金入场，60岁以上每人10000元现金，每户还能领取35样家具和家电等。  500元，76个鸡蛋的回报！ http://t.cn/A6uTF6Tz ,,tz-小红帽的微博视频
P8DSmvM0d,WS偏执狂,True,1152383,16375591,#刘强东老家村干部称村里面积已扩大3倍#光明村党委书记：刘总这次发放现金红包1500万，年货按户发的，1500户每家都有。#村书记回应刘强东为村民发了3000万# http://t.cn/A6uTHy0B ,刘强东老家村干部称村里面积已扩大3倍/村书记回应刘强东为村民发了3000万,WS偏执狂的微博视频
